Fecha,Cierre
05/03/2018,63.93
02/03/2018,64.04
01/03/2018,63.66
28/02/2018,64.51
27/02/2018,66.58
26/02/2018,68.26
23/02/2018,67.24
22/02/2018,69.1
21/02/2018,68.56
20/02/2018,71.91
19/02/2018,71.64
16/02/2018,71.25
15/02/2018,70.72
14/02/2018,70.49
13/02/2018,70.42
12/02/2018,70.88
09/02/2018,70.15
08/02/2018,70.67
07/02/2018,73.88
06/02/2018,74.48
02/02/2018,76.55
01/02/2018,76.95
31/01/2018,77.02
30/01/2018,76.75
29/01/2018,77.11
26/01/2018,76.36
25/01/2018,78
24/01/2018,77.7
23/01/2018,77.45
22/01/2018,76.43
19/01/2018,74.85
18/01/2018,74.98
17/01/2018,74.08
16/01/2018,73.53
15/01/2018,73.32
12/01/2018,72.69
11/01/2018,72.91
10/01/2018,72.67
09/01/2018,73.21
08/01/2018,74.37
05/01/2018,74.25
04/01/2018,74.09
03/01/2018,74.85
02/01/2018,75.34
29/12/2017,73.58
28/12/2017,73.73
27/12/2017,73.84
26/12/2017,74.44
22/12/2017,74.56
21/12/2017,74.66
20/12/2017,73.66
19/12/2017,73.76
18/12/2017,73.05
15/12/2017,73.62
14/12/2017,73.02
13/12/2017,72.15
11/12/2017,71.15
08/12/2017,70.87
07/12/2017,70.62
06/12/2017,70.08
05/12/2017,70.69
04/12/2017,70.09
01/12/2017,68.37
30/11/2017,69.98
29/11/2017,67.3
28/11/2017,64.97
27/11/2017,67.43
24/11/2017,69.72
23/11/2017,70.45
22/11/2017,69.49
21/11/2017,70.27
17/11/2017,70.85
16/11/2017,72.9
15/11/2017,74.4
14/11/2017,74.87
13/11/2017,76.55
10/11/2017,75.56
09/11/2017,77.14
08/11/2017,78.56
07/11/2017,79.14
06/11/2017,79.04
03/11/2017,79.44
01/11/2017,82.63
31/10/2017,83.93
30/10/2017,85.99
27/10/2017,86.21
26/10/2017,91.51
25/10/2017,90.25
24/10/2017,90.56
23/10/2017,89.99
20/10/2017,90.6
19/10/2017,89.19
18/10/2017,88.88
17/10/2017,88.99
16/10/2017,88.27
13/10/2017,88.34
12/10/2017,87.45
11/10/2017,88.2
10/10/2017,88.17
09/10/2017,87.62
06/10/2017,89.29
05/10/2017,90.64
04/10/2017,89.86
03/10/2017,89.65
02/10/2017,89.82
29/09/2017,89.75
28/09/2017,88.6
27/09/2017,89.45
26/09/2017,89.18
25/09/2017,89.61
22/09/2017,88.65
21/09/2017,89.58
20/09/2017,88.72
19/09/2017,88.6
18/09/2017,89.36
15/09/2017,88.59
14/09/2017,88.64
13/09/2017,89.46
